,Home,1h,Th,Away,1w,Tw,home_ATRatio,home_Apg,home_BPpg,home_Bpg,home_EFG%,home_FbP,home_Fg%,home_Fg%D,home_Fpg,home_FTApg,home_FTp,home_FTMpg,home_RM,RDpg_x,home_ROpg,home_Rpg,home_SD,home_SO,home_SM,home_Spg,home_3PApg,home_3P%,home_3PD%,home_3Ppg,home_TOM,home_Tpg,home_TFpg,away_ATRatio,away_Apg,away_BPpg,away_Bpg,away_EFG%,away_FbP,away_Fg%,away_Fg%D,away_Fpg,away_FTApg,away_FTp,away_FTMpg,away_RM,RDpg_y,away_ROpg,away_Rpg,away_SD,away_SO,away_SM,away_Spg,away_3PApg,away_3P%,away_3PD%,away_3Ppg,away_TOM,away_Tpg,away_TFpg
0,Georgia,30,71,Oregon,40,82,0.87,10.6,20.6,2.4,0.445,11.4,38.44,41.234,18.2,21.4,69.16,14.8,-7.0,25.8,10.0,35.8,72.6,69.4,-3.0,7.0,25.2,29.37,31.0,7.4,1.6,12.2,13.8,1.61,13.2,25.25,3.2,0.512,11.25,45.31,39.565,15.5,27.8,58.56,16.2,11.0,32.0,12.5,44.5,63.2,79.0,15.0,7.8,19.0,38.16,28.8,7.2,3.5,8.2,11.75
1,Northern Ariz.,30,52,UConn,47,95,0.9,13.8,18.5,3.7,0.463,9.17,41.67,46.765,21.2,15.8,55.79,8.8,-9.0,23.0,7.67,30.67,76.7,62.5,-14.0,7.3,20.7,25.81,24.8,5.3,-0.3,15.3,15.0,1.81,19.2,18.6,6.2,0.584,11.6,51.34,38.38,16.8,26.6,74.44,19.8,16.0,29.0,14.4,43.4,60.0,89.4,29.0,6.6,26.0,32.31,26.9,8.4,2.2,10.6,12.8
2,Samford,17,45,Purdue,51,98,1.11,15.0,30.0,4.2,0.434,17.25,37.97,43.172,20.0,22.0,72.73,16.0,-4.0,23.25,15.0,38.25,74.2,73.8,0.0,13.0,27.0,26.85,37.5,7.2,6.0,13.5,19.5,1.37,17.2,23.8,5.6,0.554,11.2,48.61,35.061,14.2,26.2,70.99,18.6,9.0,31.8,9.8,41.6,60.6,82.4,21.0,7.0,19.8,39.39,22.1,7.8,-0.8,12.6,11.8
3,Tennessee Tech,12,42,Tennessee,41,80,0.95,10.6,20.2,2.8,0.483,6.8,43.39,47.195,16.6,13.0,60.0,7.8,-5.0,25.4,7.0,32.4,78.4,64.8,-13.0,3.4,19.8,29.29,34.7,5.8,-1.8,11.2,9.4,1.31,14.2,25.8,5.0,0.5,9.0,43.05,35.54,19.4,22.6,76.99,17.4,4.0,28.2,10.4,38.6,60.0,76.4,16.0,7.2,23.6,34.75,25.9,8.2,3.2,10.8,14.0
4,Brown,31,70,Colgate,31,72,1.13,13.8,19.6,5.6,0.469,11.2,40.5,42.014,18.4,23.0,60.87,14.0,5.0,29.0,14.6,43.6,72.6,74.2,1.0,8.6,26.8,30.6,38.2,8.2,2.2,12.2,14.4,1.05,13.2,15.6,1.8,0.489,6.6,42.44,38.796,13.6,13.2,72.73,9.6,3.0,29.8,7.8,37.6,64.8,62.6,-2.0,5.0,22.2,31.53,30.8,7.0,-3.8,12.6,8.8
5,Central Conn. St.,31,70,Rhode Island,47,81,1.52,16.0,22.25,5.5,0.508,12.25,46.67,43.612,15.5,16.0,67.19,10.8,0.0,26.75,9.25,36.0,66.0,75.5,9.0,8.8,20.5,25.61,32.9,5.2,6.0,10.5,16.5,1.03,14.0,20.2,2.8,0.535,10.8,48.54,41.121,16.2,22.4,60.71,13.6,3.0,26.6,11.2,37.8,70.6,72.2,1.0,5.8,15.8,34.18,32.2,5.4,-4.4,13.6,9.2
6,Chicago St.,21,41,Bowling Green,32,70,0.59,8.0,9.33,2.8,0.435,14.33,38.99,46.269,18.7,20.5,68.29,14.0,-6.0,22.0,10.83,32.83,71.0,62.7,-8.0,9.0,18.8,26.55,27.0,5.0,1.8,13.5,15.33,1.02,11.5,22.5,3.5,0.494,6.75,43.7,45.133,17.8,19.5,57.69,11.2,2.0,26.0,10.25,36.25,70.5,70.0,0.0,5.0,24.5,27.55,39.7,6.8,1.2,11.2,12.5
7,The Citadel,27,59,NC State,36,72,0.91,10.5,14.83,2.5,0.47,9.0,40.77,45.322,13.8,19.2,73.04,14.0,3.0,26.0,10.33,36.33,66.5,66.7,0.0,5.7,23.2,30.22,31.9,7.0,-0.8,11.5,10.67,1.96,15.0,20.33,3.7,0.529,18.33,47.37,37.975,18.0,18.0,77.78,14.0,2.0,25.67,11.67,37.33,58.7,81.0,22.0,8.0,22.3,31.34,28.8,7.0,8.0,7.7,15.67
8,Cleveland St.,41,77,Duquesne,38,79,1.09,12.0,24.4,6.0,0.505,18.8,45.13,41.754,18.8,24.8,66.94,16.6,0.0,24.2,14.0,38.2,65.6,78.8,13.0,10.4,18.6,35.48,29.9,6.6,5.0,11.0,16.0,1.25,15.0,22.6,6.2,0.548,13.4,46.2,39.803,18.4,19.0,69.47,13.2,3.0,27.8,11.8,39.6,68.0,79.6,11.0,7.2,28.2,36.88,35.1,10.4,1.0,12.0,13.0
9,Columbia,27,59,Providence,42,78,1.35,17.3,31.0,2.3,0.524,17.83,46.07,39.167,16.3,22.3,79.85,17.8,2.0,27.17,9.33,36.5,65.3,80.0,14.0,11.0,22.5,33.33,26.8,7.5,4.0,12.8,16.83,0.79,12.4,14.4,7.0,0.507,9.4,44.48,35.032,16.6,22.0,69.09,15.2,5.0,28.4,12.0,40.4,64.8,74.0,9.0,6.8,24.0,30.0,26.9,7.2,-1.4,15.6,14.2
10,Delaware,44,78,Bucknell,25,57,1.45,16.0,23.0,3.8,0.602,7.5,52.65,38.43,15.2,20.0,62.5,12.5,5.0,28.5,8.75,37.25,62.2,80.5,18.0,5.8,18.8,45.33,27.8,8.5,-0.2,11.0,10.75,0.8,11.0,15.17,3.7,0.476,3.33,40.38,45.087,18.8,18.8,69.03,13.0,-6.0,24.17,6.83,31.0,72.8,62.5,-10.0,6.8,23.5,31.91,34.4,7.5,-1.8,13.8,12.0
