Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
Massachusetts,2.46,21.5,28.5,3.8,0.546,12.5,48.23,39.565,19.0,21.5,58.14,12.5,4.0,25.25,15.25,40.5,72.5,89.5,17.0,10.0,24.8,36.36,35.9,9.0,7.2,8.8,16.0
Iowa,2.19,19.0,25.33,4.2,0.529,16.17,47.85,41.895,16.0,25.3,75.0,19.0,0.0,28.5,11.67,40.17,75.3,88.7,13.0,7.3,20.2,33.06,28.6,6.7,4.5,8.7,13.17
Iowa St.,1.8,16.5,23.5,3.0,0.545,12.83,49.86,35.379,16.3,26.0,67.95,17.7,9.0,25.33,12.5,37.83,53.0,82.5,29.0,12.7,16.7,33.0,33.8,5.5,9.8,9.2,19.0
Kentucky,2.45,20.0,27.17,4.8,0.597,19.33,50.61,40.633,12.8,18.2,73.39,13.3,1.0,29.17,9.33,38.5,72.2,94.3,22.0,10.2,29.0,42.53,32.9,12.3,6.8,8.2,15.0
Purdue Fort Wayne,1.46,14.0,25.71,3.3,0.573,21.57,50.11,41.176,17.4,18.0,71.43,12.9,-1.0,26.0,8.71,34.71,65.7,89.0,23.0,11.4,25.7,37.22,28.9,9.6,9.9,9.6,19.43
Colorado St.,2.06,21.3,21.0,2.5,0.613,15.67,53.87,40.909,17.2,17.0,78.43,13.3,0.0,27.67,5.17,32.83,66.2,84.7,18.0,7.0,22.2,39.1,28.6,8.7,3.3,10.3,13.67
Eastern Ky.,1.62,20.2,38.5,7.5,0.521,24.75,46.01,41.219,15.5,23.5,56.38,13.2,12.0,31.5,20.25,51.75,75.8,94.8,19.0,8.5,30.5,31.15,34.7,9.5,4.5,12.5,17.0
Virginia Tech,1.83,17.7,24.33,2.8,0.554,10.83,47.6,42.462,16.0,23.7,83.1,19.7,2.0,24.83,8.33,33.17,65.2,81.3,16.0,7.0,23.0,37.68,35.4,8.7,5.2,9.7,14.83
BYU,1.86,21.7,39.67,2.3,0.586,19.67,48.88,38.827,17.3,17.5,78.1,13.7,17.0,32.67,14.67,47.33,60.2,92.3,32.0,6.2,33.7,38.61,22.5,13.0,1.0,11.7,12.67
UTEP,1.27,18.0,31.43,3.4,0.536,20.29,49.05,40.955,20.7,28.3,66.67,18.9,3.0,25.86,11.57,37.43,69.1,83.4,14.0,12.0,18.0,30.16,28.5,5.4,4.6,14.1,18.71
Virginia,1.7,14.2,22.33,6.3,0.503,5.5,44.48,35.385,14.0,20.5,66.67,13.7,-4.0,24.33,8.17,32.5,53.8,65.3,11.0,9.5,16.8,35.64,29.0,6.0,6.3,8.3,14.67
Richmond,1.81,14.5,22.67,4.0,0.572,8.0,50.28,38.873,13.7,14.0,72.62,10.2,-2.0,27.17,6.5,33.67,63.5,79.2,15.0,8.3,22.2,37.59,29.5,8.3,5.5,8.0,13.5
Rice,1.31,14.8,24.0,3.2,0.496,4.5,43.17,50.278,15.7,20.5,73.17,15.0,-1.0,24.0,10.0,34.0,83.7,75.5,-8.0,5.7,23.3,33.57,37.8,7.8,-0.3,11.3,11.0
Southern Ill.,1.59,16.2,24.2,3.0,0.571,8.8,47.83,42.105,20.2,25.4,72.44,18.4,3.0,25.8,9.2,35.0,63.2,81.4,18.0,6.6,25.8,39.53,25.3,10.2,3.2,10.2,13.4
UC Riverside,1.55,14.2,24.67,1.3,0.433,8.5,36.13,47.13,17.8,14.2,67.06,9.5,0.0,22.83,13.33,36.17,73.5,64.7,-8.0,5.3,28.7,31.98,41.8,9.2,2.7,9.2,11.83
Kansas,1.69,24.2,20.67,3.8,0.608,14.67,54.6,35.176,14.0,18.5,67.57,12.5,8.0,33.67,7.5,41.17,65.0,83.0,18.0,6.5,19.2,37.39,26.7,7.2,-3.3,14.3,11.0
Ole Miss,1.68,16.8,15.2,5.6,0.5,11.0,44.59,40.484,14.0,18.6,69.89,13.0,0.0,24.8,11.2,36.0,67.0,72.2,5.0,8.4,19.0,33.68,34.5,6.4,2.2,10.0,12.2
Stanford,1.5,18.0,17.71,3.3,0.536,6.29,46.53,43.534,16.6,15.3,70.09,10.7,-3.0,27.57,8.43,36.0,77.7,79.1,1.0,6.3,25.6,35.2,37.0,9.0,0.0,12.0,12.0
Fla. Atlantic,1.52,15.2,22.0,3.0,0.561,15.4,48.03,43.729,18.0,20.6,70.87,14.6,1.0,24.8,11.0,35.8,71.0,82.8,11.0,7.6,26.0,37.69,34.3,9.8,3.0,10.0,13.0
McNeese,1.51,13.6,21.0,2.1,0.57,10.0,51.26,39.402,14.6,14.7,60.19,8.9,7.0,24.71,12.71,37.43,58.6,79.7,21.0,11.9,18.0,39.68,29.9,7.1,7.4,9.0,16.43
Purdue,1.28,16.7,20.67,5.0,0.561,9.67,48.99,37.565,13.7,24.3,69.18,16.8,9.0,30.33,10.33,40.67,63.0,81.7,18.0,6.3,20.0,40.83,22.9,8.2,-1.7,13.0,11.33
Saint Joseph's,1.57,18.2,23.6,3.4,0.514,12.0,43.03,38.0,17.4,15.2,69.74,10.6,4.0,29.4,11.8,41.2,66.0,78.4,12.0,6.6,32.4,33.95,32.1,11.0,2.0,11.6,13.6
Marquette,1.69,15.2,22.17,2.3,0.556,13.67,48.91,41.341,15.8,17.2,66.02,11.3,-3.0,24.67,8.83,33.5,67.5,79.5,12.0,9.3,24.7,33.11,34.1,8.2,6.3,9.0,15.33
Villanova,1.16,11.3,21.0,1.9,0.52,7.43,43.5,37.596,18.7,22.7,83.65,19.0,5.0,28.43,10.57,39.0,64.1,78.4,14.0,5.6,28.1,34.52,32.8,9.7,2.1,9.7,11.86
Indiana St.,1.58,18.7,19.33,1.8,0.638,13.33,53.96,46.631,18.5,23.8,69.93,16.7,-3.0,24.83,6.17,31.0,77.2,89.2,12.0,8.0,27.0,41.36,35.5,11.2,3.3,11.8,15.17
Vermont,1.64,15.4,24.0,3.0,0.597,10.0,50.25,40.561,13.9,14.4,64.36,9.3,5.0,27.43,9.0,36.43,62.1,78.1,16.0,6.0,27.9,38.97,32.1,10.9,0.7,9.4,10.14
Colorado,1.37,19.4,18.6,3.6,0.551,15.0,48.47,40.484,15.8,22.2,77.48,17.2,9.0,26.8,12.4,39.2,67.0,82.2,15.0,7.6,18.0,43.33,31.8,7.8,-0.6,14.2,13.6
Missouri St.,1.02,15.0,20.0,4.3,0.551,8.5,46.73,37.76,17.0,22.3,70.15,15.7,7.0,30.67,8.83,39.5,65.3,74.7,9.0,4.3,23.3,38.57,26.4,9.0,-5.2,14.7,9.5
A&M-Corpus Christi,1.19,16.5,40.0,2.0,0.494,15.17,44.64,41.139,23.0,20.5,60.16,12.3,8.0,27.33,15.17,42.5,69.5,78.3,8.0,10.5,21.0,30.16,31.3,6.3,3.2,13.8,17.0
Nevada,2.21,18.2,28.0,3.8,0.554,7.0,50.4,39.669,19.2,26.0,75.96,19.8,10.0,31.5,10.5,42.0,65.2,89.0,23.0,5.0,18.2,34.25,31.2,6.2,3.2,8.2,11.5
