Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
Massachusetts,3.58,21.5,34.0,3.0,0.565,16.5,49.32,39.655,20.5,23.0,63.04,14.5,1.0,25.5,13.5,,76.0,97.0,21.0,10.5,25.0,42.0,32.6,10.5,10.5,6.0,16.5
Iowa,3.5,23.3,29.33,3.7,0.56,19.0,49.77,42.268,17.0,23.0,73.91,17.0,0.0,28.0,12.67,,75.7,97.3,21.0,8.3,22.3,40.3,26.3,9.0,9.0,6.7,15.67
Iowa St.,2.67,18.7,31.33,4.0,0.561,17.0,51.27,32.593,19.0,24.3,71.23,17.3,12.0,27.33,13.33,,48.7,91.0,42.0,15.3,17.0,37.25,30.3,6.3,13.7,7.0,20.67
Kentucky,2.53,14.3,23.33,3.0,0.498,20.33,42.79,40.351,14.3,19.7,74.58,14.7,3.0,28.67,11.67,,65.3,83.7,18.0,10.0,30.0,32.22,30.9,9.7,9.7,5.7,15.33
Purdue Fort Wayne,2.5,16.7,31.33,3.3,0.605,26.33,53.27,37.647,15.3,17.7,73.58,13.0,5.0,30.33,8.67,,57.3,99.3,42.0,12.7,24.3,42.47,20.8,10.3,16.0,6.7,22.67
Eastern Ky.,2.44,30.5,62.5,8.5,0.617,40.5,55.09,40.0,16.0,28.5,61.4,17.5,20.0,33.5,21.0,,73.5,120.5,47.0,12.5,32.5,33.85,27.5,11.0,11.0,12.5,23.5
Virginia Tech,2.43,18.7,25.33,2.7,0.535,7.33,46.51,40.764,13.0,22.0,80.3,17.7,3.0,23.67,9.67,,59.3,79.0,19.0,7.7,24.0,33.33,35.1,8.0,7.3,7.7,15.0
BYU,2.43,22.7,42.33,2.7,0.564,18.67,47.25,39.08,18.7,18.0,79.63,14.3,21.0,34.33,16.67,,58.7,96.3,37.0,6.7,35.3,37.74,19.2,13.3,5.0,9.3,14.33
UTEP,2.41,25.7,54.0,4.3,0.637,29.67,58.49,40.0,21.0,31.0,66.67,20.7,6.0,30.67,11.33,,73.0,110.7,37.0,16.0,19.0,38.6,28.8,7.3,12.0,10.7,22.67
Virginia,1.97,16.2,28.75,6.8,0.548,6.25,48.1,33.491,14.8,25.0,65.0,16.2,3.0,26.5,10.0,,51.0,73.8,22.0,11.0,17.2,40.58,24.7,7.0,7.5,8.2,15.75
Richmond,2.35,15.7,25.67,3.3,0.555,9.0,47.8,40.805,13.3,19.7,71.19,14.0,-3.0,26.0,7.67,,63.7,81.3,17.0,10.3,24.7,37.84,33.3,9.3,9.0,6.7,15.67
Rice,2.3,17.7,31.33,2.7,0.518,4.67,45.03,49.697,13.3,20.0,71.67,14.3,1.0,22.67,12.33,,75.3,80.3,5.0,7.3,25.7,33.77,35.7,8.7,5.7,7.7,13.33
Southern Ill.,1.65,17.0,24.0,3.3,0.572,11.33,49.71,41.25,18.3,24.3,71.23,17.3,9.0,27.33,11.0,,60.0,83.3,23.0,7.7,23.3,37.14,26.4,8.7,4.0,10.3,14.33
UC Riverside,2.21,14.0,29.0,1.7,0.4,10.33,33.0,47.024,17.7,17.0,66.67,11.3,-7.0,21.0,14.33,,75.7,64.7,-11.0,4.7,32.3,28.87,41.7,9.3,7.3,6.3,13.67
Kansas,2.13,27.0,27.0,5.3,0.657,16.33,57.69,33.831,17.0,20.7,77.42,16.0,10.0,34.67,7.67,,67.0,95.7,28.0,6.0,22.3,43.28,29.9,9.7,-1.0,12.7,11.67
Ole Miss,2.12,17.0,15.0,5.0,0.479,12.0,42.93,38.953,14.3,16.7,62.0,10.3,-2.0,25.33,11.0,,64.0,71.3,7.0,9.7,19.7,32.2,30.6,6.3,5.0,8.0,13.0
