Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg,PPG_x,PPG_y
Massachusetts,2.38,19.0,30.33,3.3,0.513,12.67,45.09,41.243,20.0,23.7,54.93,13.0,1.0,25.33,16.67,,76.7,89.7,13.0,10.3,26.0,35.9,37.1,9.3,8.3,8.0,16.33,89.7,89.7
Iowa,3.11,21.0,26.5,4.8,0.544,19.5,49.08,41.985,17.0,28.8,72.17,20.8,-1.0,28.0,12.25,,75.2,95.0,19.0,9.0,19.8,36.71,30.0,7.2,9.5,6.8,16.25,95.0,95.0
Iowa St.,2.67,18.7,31.33,4.0,0.561,17.0,51.27,32.593,19.0,24.3,71.23,17.3,12.0,27.33,13.33,,48.7,91.0,42.0,15.3,17.0,37.25,30.3,6.3,13.7,7.0,20.67,91.0,91.2
Kentucky,2.23,17.2,29.25,3.8,0.561,18.0,47.58,39.574,12.8,16.8,74.63,12.5,4.0,29.25,10.0,,65.8,88.0,22.0,9.5,30.5,37.7,29.9,11.5,7.2,7.8,15.0,88.0,89.6
Purdue Fort Wayne,1.69,15.2,25.6,2.8,0.582,21.8,50.58,42.254,16.8,19.4,72.16,14.0,1.0,27.2,9.2,,64.0,93.6,29.0,12.2,26.4,39.39,26.6,10.4,12.2,9.0,21.2,93.6,93.6
Eastern Ky.,1.97,24.3,43.67,7.3,0.555,29.33,49.19,42.056,14.0,22.7,61.76,14.0,13.0,31.33,20.0,,75.7,105.0,29.0,10.3,32.3,31.96,32.5,10.3,7.7,12.3,20.0,105.0,105.0
Virginia Tech,2.43,18.7,25.33,2.7,0.535,7.33,46.51,40.764,13.0,22.0,80.3,17.7,3.0,23.67,9.67,,59.3,79.0,19.0,7.7,24.0,33.33,35.1,8.0,7.3,7.7,15.0,79.0,83.8
BYU,2.36,23.0,42.75,3.2,0.581,22.0,49.1,37.975,17.2,18.2,82.19,15.0,19.0,33.0,15.5,,56.5,95.5,39.0,7.0,33.8,37.04,19.7,12.5,4.5,9.8,14.25,95.5,95.5
UTEP,1.85,24.5,44.25,3.8,0.631,25.75,57.92,40.0,20.5,31.0,61.29,19.0,5.0,29.5,10.75,,70.5,100.8,30.0,14.2,18.8,36.0,29.1,6.8,7.2,13.2,20.5,100.8,95.6
Virginia,1.97,16.2,28.75,6.8,0.548,6.25,48.1,33.491,14.8,25.0,65.0,16.2,3.0,26.5,10.0,,51.0,73.8,22.0,11.0,17.2,40.58,24.7,7.0,7.5,8.2,15.75,73.8,67.2
Richmond,2.35,15.7,25.67,3.3,0.555,9.0,47.8,40.805,13.3,19.7,71.19,14.0,-3.0,26.0,7.67,,63.7,81.3,17.0,10.3,24.7,37.84,33.3,9.3,9.0,6.7,15.67,81.3,75.8
Rice,2.3,17.7,31.33,2.7,0.518,4.67,45.03,49.697,13.3,20.0,71.67,14.3,1.0,22.67,12.33,,75.3,80.3,5.0,7.3,25.7,33.77,35.7,8.7,5.7,7.7,13.33,80.3,80.3
Southern Ill.,1.65,17.0,24.0,3.3,0.572,11.33,49.71,41.25,18.3,24.3,71.23,17.3,9.0,27.33,11.0,,60.0,83.3,23.0,7.7,23.3,37.14,26.4,8.7,4.0,10.3,14.33,83.3,83.3
UC Riverside,1.58,14.2,26.5,1.5,0.395,8.25,32.44,46.725,18.2,15.0,65.0,9.8,-5.0,21.75,14.25,,76.0,61.5,-14.0,5.2,31.8,29.13,37.7,9.2,3.5,9.0,12.5,61.5,61.5
Kansas,2.13,27.0,27.0,5.3,0.657,16.33,57.69,33.831,17.0,20.7,77.42,16.0,10.0,34.67,7.67,,67.0,95.7,28.0,6.0,22.3,43.28,29.9,9.7,-1.0,12.7,11.67,95.7,92.5
Ole Miss,1.78,16.5,14.25,5.5,0.477,12.25,43.04,39.565,14.0,21.0,69.05,14.5,-1.0,25.5,10.5,,64.8,71.0,6.0,8.8,19.2,28.57,33.0,5.5,3.5,9.2,12.75,71.0,71.0
Stanford,1.97,18.8,21.0,4.2,0.562,6.25,49.25,43.609,16.0,16.5,75.76,12.5,-1.0,27.75,8.75,,77.8,87.8,10.0,6.5,24.0,38.54,38.7,9.2,3.5,9.5,13.0,87.8,87.8
Fla. Atlantic,1.5,16.0,24.0,3.3,0.519,14.67,44.86,39.881,17.0,17.7,66.04,11.7,5.0,28.67,11.0,,60.0,75.7,15.0,8.0,26.0,33.33,26.2,8.7,3.7,10.7,14.33,75.7,75.7
McNeese,1.86,15.6,25.6,1.8,0.59,11.2,52.74,39.194,13.0,16.0,62.5,10.0,9.0,25.8,13.6,,58.2,87.4,29.0,13.4,19.4,42.27,29.1,8.2,9.4,8.4,17.8,87.4,87.4
Purdue,1.97,22.3,34.0,7.3,0.624,14.0,53.45,34.653,12.7,22.3,76.12,17.0,11.0,34.0,8.0,,57.7,89.3,31.0,6.0,22.3,46.27,21.8,10.3,0.3,11.3,11.67,89.3,85.2
Saint Joseph's,1.61,17.8,25.25,3.5,0.51,12.25,43.14,34.322,16.5,16.0,68.75,11.0,4.0,29.75,11.25,,58.5,76.0,17.0,7.0,31.2,32.0,28.4,10.0,3.8,11.0,14.75,76.0,78.4
Marquette,1.92,16.7,25.67,2.3,0.573,19.0,50.26,37.245,15.0,20.7,62.9,13.0,-1.0,28.67,10.0,,66.3,86.0,19.0,9.3,24.0,37.5,29.5,9.0,6.3,8.7,15.0,86.0,82.2
Villanova,1.26,12.2,21.5,2.0,0.545,10.5,45.25,35.78,18.0,18.2,83.56,15.2,7.0,28.25,10.5,,59.0,75.5,16.0,6.0,29.0,35.34,30.6,10.2,1.2,9.8,11.0,75.5,75.5
Indiana St.,1.91,20.3,21.33,2.7,0.651,15.33,55.81,43.094,20.3,22.0,63.64,14.0,-1.0,26.67,6.33,,73.0,88.7,15.0,8.3,26.3,40.51,32.1,10.7,3.0,10.7,13.67,88.7,88.7
Vermont,1.65,15.2,19.5,3.0,0.593,10.0,50.23,37.5,13.8,17.2,69.57,12.0,9.0,29.25,9.5,,57.0,77.5,20.0,5.8,25.8,38.83,26.5,10.0,0.2,9.2,9.5,77.5,74.2
Colorado,1.9,24.7,23.33,5.0,0.645,16.67,55.68,37.017,16.3,21.7,75.38,16.3,10.0,28.33,11.0,,66.3,92.0,25.0,7.3,20.0,51.67,33.3,10.3,-0.7,13.0,12.33,92.0,85.0
Missouri St.,1.88,16.0,20.5,7.0,0.484,4.0,41.41,37.037,14.5,15.0,63.33,9.5,0.0,33.0,8.0,,68.0,71.5,3.0,5.5,26.5,33.96,26.1,9.0,0.0,8.5,8.5,71.5,71.2
